drug	genes	question	long_answer	answer	llm_answer	score
lovastatin	SLCO1B1	What would be the clinical guidance for someone who is Poor Function for SLCO1B1 with regards to taking lovastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).	Avoid	Avoid	True
lovastatin	SLCO1B1	What would be the clinical guidance for someone who is Normal Function for SLCO1B1 with regards to taking lovastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	Unchanged	Unchanged	True
lovastatin	SLCO1B1	What would be the clinical guidance for someone who is Increased Function for SLCO1B1 with regards to taking lovastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	Unchanged	Avoid	False
lovastatin	SLCO1B1	What would be the clinical guidance for someone who is Indeterminate for SLCO1B1 with regards to taking lovastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No recommendation	Unchanged	Unchanged	True
mafenide	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking mafenide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
mafenide	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking mafenide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	No response (safety filter)	False
mafenide	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking mafenide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	Avoid	False
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 1.0 for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with 50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 50% of the maximum recommended dose with caution. In accordance with the meloxicam prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 7 days). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider alternative therapy. Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE).	Alter dose	Alter dose	True
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.0 for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE).	Avoid	Alter dose	False
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.5 for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE).	Avoid	Alter dose	False
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Normal Metabolizer and activity score = 2.0 for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.	Unchanged	No response (safety filter)	False
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 1.5 for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with recommended starting dose. In accordance with the meloxicam prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.	Unchanged	No response (safety filter)	False
meloxicam	CYP2C9	What would be the clinical guidance for someone who is Indeterminate for CYP2C9 with regards to taking meloxicam? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No recommendation	Unchanged	Unchanged	True
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Intermediate Metabolizer for TPMT and Intermediate Metabolizer for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is ≥ 75 mg/m2/day or ≥ 1.5 mg/kg/day (e.g., start at 22.5-60 mg/m2/day or 0.45-1.2 mg/kg/day) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing mercaptopurine over other agents (PMID 20354201,18685564, 8857546, 18987654, 20010622, 16401827, 11302950, 16530532, 9634537). If normal starting dose is already < 75 mg/m2/day or < 1.5 mg/kg/day, dose reduction may not be recommended.	Alter dose	Alter dose	True
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Intermediate Metabolizer for TPMT and Normal Metabolizer for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is ≥ 75 mg/m2/day or ≥ 1.5 mg/kg/day (e.g. start at 22.5-60 mg/m2/day or 0.45-1.2 mg/kg/day) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing mercaptopurine over other agents (PMID 20354201,18685564, 8857546, 18987654, 20010622, 16401827, 11302950, 16530532, 9634537). If normal starting dose is already < 75 mg/m2/day or < 1.5 mg/kg/day, dose reduction may not be recommended.	Alter dose	Alter dose	True
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Normal Metabolizer for TPMT and Intermediate Metabolizer for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is ≥75 mg/m2/day or ≥ 1.5 mg/kg/day (e.g., start at 22.5-60 mg/m2/day or 0.45-1.2 mg/kg/day) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing mercaptopurine over other agents (PMID 20354201, 18685564, 8857546, 18987654, 20010622, 16401827, 11302950, 16530532, 9634537). If normal starting dose is already < 75 mg/m2/day or < 1.5 mg/kg/day, dose reduction may not be recommended.	Alter dose	Alter dose	True
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Normal Metabolizer for TPMT and Indeterminate for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on TPMT status, start with normal starting dose (e.g., 75 mg/m2/day or 1.5 mg/kg/day) and adjust doses of mercaptopurine (and of any other myelosuppressive therapy) without any special emphasis on mercaptopurine compared to other agents. Allow at least 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 16401827, 11302950). NUDT15 phenotype could not be assigned based on genotyping. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.	Unchanged	Alter dose	False
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Indeterminate for TPMT and Normal Metabolizer for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on NUDT15 status, start with normal starting dose (e.g., 75 mg/m2/day or 1.5 mg/kg/day) and adjust doses of mercaptopurine (and of any other myelosuppressive therapy) without any special emphasis on mercaptopurine compared to other agents. Allow at least 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 16401827, 11302950). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity.	Unchanged	Unchanged	True
mercaptopurine	TPMT;NUDT15	What would be the clinical guidance for someone who is Indeterminate for TPMT and Indeterminate for NUDT15 with regards to taking mercaptopurine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.	Unchanged	Alter dose	False
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on CACNA1S status, halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	No response (safety filter)	False
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and No Result for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No CACNA1S genotype is available. Based on RYR1 status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Avoid	False
methoxyflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking methoxyflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No RYR1 genotype is available. Based on CACNA1S status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Avoid	False
methylene blue	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking methylene blue? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid use	Avoid	Avoid	True
methylene blue	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking methylene blue? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid use	Avoid	Avoid	True
methylene blue	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking methylene blue? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid ased on G6PD status	Unchanged	Unchanged	True
methylene blue	G6PD	What would be the clinical guidance for someone who is Variable for G6PD with regards to taking methylene blue? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	No response (safety filter)	False
methylene blue	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking methylene blue? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
nalidixic acid	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking nalidixic acid? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
nalidixic acid	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking nalidixic acid? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Alter dose	False
nalidixic acid	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking nalidixic acid? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	Avoid	False
neomycin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking neomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Avoid	Avoid	True
neomycin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking neomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Alter dose	False
neomycin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking neomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Avoid	False
netilmicin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking netilmicin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Avoid	Avoid	True
netilmicin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking netilmicin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Alter dose	False
netilmicin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking netilmicin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Unchanged	True
nitrofurantoin	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking nitrofurantoin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid	Avoid	Avoid	True
nitrofurantoin	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking nitrofurantoin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use at standard doses with caution and with close monitoring for anemia	Unchanged	Avoid	False
nitrofurantoin	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking nitrofurantoin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Unchanged	True
nitrofurantoin	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking nitrofurantoin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status	Unchanged	Unchanged	True
norfloxacin	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking norfloxacin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
norfloxacin	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking norfloxacin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Alter dose	False
norfloxacin	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking norfloxacin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	Avoid	False
nortriptyline	CYP2D6	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 0.75 for CYP2D6 with regards to taking nortriptyline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.	Alter dose	Alter dose	True
nortriptyline	CYP2D6	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 0.25 for CYP2D6 with regards to taking nortriptyline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.	Alter dose	Alter dose	True
nortriptyline	CYP2D6	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 1.0 for CYP2D6 with regards to taking nortriptyline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.	Alter dose	Alter dose	True
nortriptyline	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = 2.5 for CYP2D6 with regards to taking nortriptyline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.	Avoid	Alter dose	False
nortriptyline	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = 3.0 for CYP2D6 with regards to taking nortriptyline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.	Avoid	Alter dose	False
